sju,zju,-0.055324862,,,,
zju,zjo,-0.055324862,,,,
nju,njo,-0.055324862,,,,
nju,mju,-0.055324862,,,,
rju,rjo,-0.055324862,,,,
su,zu,-0.056332346,,,,
zu,zo,-0.056332346,,,,
nu,no,-0.056332346,,,,
nu,mu,-0.056332346,,,,
ru,ro,-0.056332346,,,,
zu,zju,-0.056414662,,,,
nu,nju,-0.056414662,,,,
ru,rju,-0.056414662,,,,
sja,zja,-0.058461341,,,,
sju,sjo,-0.058461341,,,,
sjo,zjo,-0.058461341,,,,
njo,mjo,-0.058461341,,,,
mju,mjo,-0.058461341,,,,
ju,jo,-0.059587227,,,,
sa,za,-0.059587227,,,,
su,so,-0.059587227,,,,
so,zo,-0.059587227,,,,
na,ma,-0.059587227,,,,
no,mo,-0.059587227,,,,
mu,mo,-0.059587227,,,,
su,sju,-0.059685227,,,,
za,zja,-0.059685227,,,,
zo,zjo,-0.059685227,,,,
no,njo,-0.059685227,,,,
mu,mju,-0.059685227,,,,
ra,rja,-0.059685227,,,,
ro,rjo,-0.059685227,,,,
kju,gju,-0.061974017,,,,
gju,gjo,-0.061974017,,,,
ku,gu,-0.063240416,,,,
gu,go,-0.063240416,,,,
si,zi,-0.063240416,,,,
zi,ze,-0.063240416,,,,
ni,ne,-0.063240416,,,,
ni,mi,-0.063240416,,,,
ri,re,-0.063240416,,,,
gu,gju,-0.063358353,,,,
sa,sja,-0.063358353,,,,
so,sjo,-0.063358353,,,,
ma,mja,-0.063358353,,,,
mo,mjo,-0.063358353,,,,
u,o,-0.065472212,,,,
kja,gja,-0.065934695,,,,
kju,kjo,-0.065934695,,,,
kjo,gjo,-0.065934695,,,,
tju,tjo,-0.065934695,,a,djo,-0.287025192
tju,pju,-0.065934695,,,,
pju,bju,-0.065934695,,,,
bju,bjo,-0.065934695,,,,
ka,ga,-0.067369568,,,,
ku,ko,-0.067369568,,,,
ko,go,-0.067369568,,,,
si,se,-0.067369568,,,,
se,ze,-0.067369568,,,,
ta,da,-0.067369568,,,,
tu,to,-0.067369568,,,,
tu,pu,-0.067369568,,,,
to,do,-0.067369568,,,,
da,ba,-0.067369568,,,,
do,bo,-0.067369568,,,,
ne,me,-0.067369568,,,,
pu,bu,-0.067369568,,,,
bu,bo,-0.067369568,,,,
mi,me,-0.067369568,,,,
ku,kju,-0.067513241,,,,
ga,gja,-0.067513241,,,,
go,gjo,-0.067513241,,,,
tu,tju,-0.067513241,,,,
bu,bju,-0.067513241,,,,
u,bu,-0.070092216,,,,
ki,gi,-0.072073849,,,,
gi,ge,-0.072073849,,,,
ta,pa,-0.072073849,,,,
to,po,-0.072073849,,,,
pa,ba,-0.072073849,,,,
pu,po,-0.072073849,,,,
po,bo,-0.072073849,,,,
ka,kja,-0.072251329,,,,
ko,kjo,-0.072251329,,,,
ta,tja,-0.072251329,,,,
to,tjo,-0.072251329,,,,
pu,pju,-0.072251329,,,,
ba,bja,-0.072251329,,,,
bo,bjo,-0.072251329,,,,
u,ru,-0.072926616,,,,
hju,hjo,-0.073790934,,,,
a,ba,-0.074972406,,,,
o,bo,-0.074972406,,,,
i,e,-0.074984774,,,,
hu,ho,-0.075591542,,,,
hu,hju,-0.075797669,,,,
a,ra,-0.076364678,,,,
o,ro,-0.076364678,,,,
ki,ke,-0.077481892,,,,
ke,ge,-0.077481892,,,,
ti,te,-0.077481892,,,,
ti,pi,-0.077481892,,,,
te,de,-0.077481892,,,,
de,be,-0.077481892,,,,
pi,bi,-0.077481892,,,,
bi,be,-0.077481892,,,,
i,ri,-0.080095818,,,,
i,bi,-0.08058304,,,,
ha,hja,-0.081821839,,,,
ho,hjo,-0.081821839,,,,
a,da,-0.082047068,,,,
o,do,-0.082047068,,,,
te,pe,-0.083763552,,,,
pi,pe,-0.083763552,,,,
pe,be,-0.083763552,,,,
e,re,-0.084143073,,,,
u,pu,-0.0857961,,,,
e,be,-0.087101383,,,,
hi,he,-0.088546522,,,,
a,pa,-0.091482679,,,,
o,po,-0.091482679,,,,
e,de,-0.09475077,,,,
i,pi,-0.097968351,,,,
u,tu,-0.099082012,,,,
e,pe,-0.105431522,,,,
a,ta,-0.106001069,,,,
o,to,-0.106001069,,,,
u,zu,-0.108211873,,,,
sjo,zju,-0.108685998,,,,
nju,mjo,-0.108685998,,,,
so,zu,-0.110618017,,,,
zi,zu,-0.110618017,,,,
ni,nu,-0.110618017,,,,
nu,mo,-0.110618017,,,,
ri,ru,-0.110618017,,,,
su,zju,-0.112232547,,,,
zo,zju,-0.112232547,,,,
no,nju,-0.112232547,,,,
nju,mu,-0.112232547,,,,
ro,rju,-0.112232547,,,,
zju,rju,-0.112314111,,,,
nju,rju,-0.112314111,,,,
a,za,-0.113908748,,,,
o,zo,-0.113908748,,,,
i,ti,-0.113959097,,,,
zu,ru,-0.114394002,,,,
nu,ru,-0.114394002,,i,djo,-0.358716384
sju,tju,-0.114693583,,,,
bju,mju,-0.114693583,,,,
sju,zu,-0.115473286,,,,
zu,zjo,-0.115473286,,,,
nu,njo,-0.115473286,,,,
nu,mju,-0.115473286,,,,
ru,rjo,-0.115473286,,,,
si,su,-0.11684489,,,,
su,tu,-0.11684489,,,,
za,ze,-0.11684489,,,,
za,da,-0.11684489,,,,
ze,zo,-0.11684489,,,,
zo,do,-0.11684489,,,,
da,na,-0.11684489,,,,
da,ra,-0.11684489,,,,
do,no,-0.11684489,,,,
do,ro,-0.11684489,,,,
na,ne,-0.11684489,,,,
ne,no,-0.11684489,,,,
bu,mu,-0.11684489,,,,
mi,mu,-0.11684489,,,,
ra,re,-0.11684489,,,,
re,ro,-0.11684489,,,,
u,nu,-0.117033187,,,,
sa,zja,-0.118696718,,,,
so,sju,-0.118696718,,,,
so,zjo,-0.118696718,,,,
njo,mo,-0.118696718,,,,
mo,mju,-0.118696718,,,,
sju,zjo,-0.118793771,,,,
zja,zjo,-0.118793771,,,,
zja,rja,-0.118793771,,,,
zjo,rjo,-0.118793771,,,,
njo,mju,-0.118793771,,,,
njo,rjo,-0.118793771,,,,
rja,rjo,-0.118793771,,,,
i,zi,-0.120208846,,,,
o,ru,-0.120553958,,,,
su,zo,-0.121123061,,,,
za,zo,-0.121123061,,,,
za,ra,-0.121123061,,,,
zo,ro,-0.121123061,,,,
na,no,-0.121123061,,,,
na,ra,-0.121123061,,,,
no,mu,-0.121123061,,,,
no,ro,-0.121123061,,,,
ra,ro,-0.121123061,,,,
kjo,gju,-0.121396125,,,,
sja,tja,-0.121396125,,,,
sjo,tjo,-0.121396125,,,,
bja,mja,-0.121396125,,,,
bjo,mjo,-0.121396125,,,,
su,sjo,-0.122334412,,,,
sja,za,-0.122334412,,,,
sjo,zo,-0.122334412,,,,
na,mja,-0.122334412,,,,
no,mjo,-0.122334412,,,,
mu,mjo,-0.122334412,,,,
u,mu,-0.122878739,,,,
e,te,-0.123209138,,,,
a,na,-0.123294766,,,,
o,no,-0.123294766,,,,
ko,gu,-0.123805665,,,,
gi,gu,-0.123805665,,,,
sa,se,-0.123805665,,,,
sa,ta,-0.123805665,,,,
se,so,-0.123805665,,,,
se,zi,-0.123805665,,,,
so,to,-0.123805665,,,,
ni,me,-0.123805665,,,,
ba,ma,-0.123805665,,,,
bo,mo,-0.123805665,,,,
ma,me,-0.123805665,,,,
me,mo,-0.123805665,,,,
ku,gju,-0.125950131,,,,
go,gju,-0.125950131,,,,
sja,sjo,-0.126066859,,,,
mja,mjo,-0.126066859,,,,
e,ze,-0.127204084,,,,
i,u,-0.128042884,,,,
u,rju,-0.128675267,,,,
ja,jo,-0.128693252,,,,
ja,wa,-0.128693252,,,,
sa,so,-0.128693252,,,,
zi,ri,-0.128693252,,,,
ni,ri,-0.128693252,,,,
ma,mo,-0.128693252,,,,
kju,gu,-0.130062484,,,,
gu,gjo,-0.130062484,,,,
i,ni,-0.130237103,,,,
a,ma,-0.130472685,,,,
o,mo,-0.130472685,,,,
ki,ku,-0.131635728,,,,
ga,ge,-0.131635728,,,,
ge,go,-0.131635728,,u,djo,-0.213300622
si,ti,-0.131635728,,,,
ze,de,-0.131635728,,,,
ti,tu,-0.131635728,,,,
tu,po,-0.131635728,,,,
da,de,-0.131635728,,,,
da,pa,-0.131635728,,,,
de,do,-0.131635728,,,,
de,ne,-0.131635728,,,,
de,re,-0.131635728,,,,
do,po,-0.131635728,,,,
po,bu,-0.131635728,,,,
bi,bu,-0.131635728,,,,
bi,mi,-0.131635728,,,,
e,ri,-0.13169766,,,,
ka,gja,-0.134146508,,,,
