ha,hja,-0.014889225
kju,gju,-0.017857143
ku,kju,-0.018929765
gu,gju,-0.018929765
kja,gja,-0.020833333
kjo,gjo,-0.020833333
ho,hjo,-0.022334853
ro,rjo,-0.022334853
djo,bjo,-0.023126182
njo,mjo,-0.023126182
bjo,mjo,-0.023255814
ka,kja,-0.027544409
ko,kjo,-0.027544409
ga,gja,-0.027544409
go,gjo,-0.027544409
tju,pju,-0.028314965
nju,mju,-0.028314965
sjo,zjo,-0.028571429
tjo,djo,-0.028571429
djo,njo,-0.028571429
pju,bju,-0.028571429
bja,mja,-0.028571429
bju,mju,-0.028571429
hu,hju,-0.032724649
bo,bjo,-0.032724649
mo,mjo,-0.032724649
ra,rja,-0.032724649
ru,rju,-0.032724649
sja,zja,-0.037037037
sju,zju,-0.037037037
ki,gi,-0.04
ku,gu,-0.04
hi,he,-0.040066894
ri,re,-0.040066894
ki,ke,-0.041742431
ku,ko,-0.041742431
gi,ge,-0.041742431
gu,go,-0.041742431
ju,jo,-0.043564535
a,hja,-0.044338812
pe,be,-0.045454545
be,me,-0.045454545
ku,gju,-0.045655889
kju,gu,-0.045655889
ka,ga,-0.047619048
ke,ge,-0.047619048
ko,go,-0.047619048
te,pe,-0.047732983
de,be,-0.047732983
ne,me,-0.047732983
hu,ho,-0.047732983
pi,pe,-0.047732983
bi,be,-0.047732983
mi,me,-0.047732983
ru,ro,-0.047732983
so,sjo,-0.048246049
zo,zjo,-0.048246049
to,tjo,-0.048246049
do,djo,-0.048246049
no,njo,-0.048246049
pu,pju,-0.048246049
ba,bja,-0.048246049
bu,bju,-0.048246049
ma,mja,-0.048246049
mu,mju,-0.048246049
tjo,bjo,-0.048903146
djo,mjo,-0.048903146
njo,bjo,-0.048903146
u,kju,-0.054564597
u,gju,-0.054564597
se,ze,-0.055555556
te,de,-0.055555556
de,ne,-0.055555556
pi,bi,-0.055555556
po,bo,-0.055555556
bi,mi,-0.055555556
bo,mo,-0.055555556
o,hjo,-0.056577973
o,rjo,-0.056577973
tjo,njo,-0.057142857
pju,mju,-0.057142857
sjo,tjo,-0.057142857
zjo,djo,-0.057142857
ka,gja,-0.059041448
kja,ga,-0.059041448
ko,gjo,-0.059041448
kjo,go,-0.059041448
si,se,-0.059041448
zi,ze,-0.059041448
ti,te,-0.059041448
ti,pi,-0.059041448
to,po,-0.059041448
do,bo,-0.059041448
ni,ne,-0.059041448
ni,mi,-0.059041448
no,mo,-0.059041448
pu,po,-0.059041448
bu,bo,-0.059041448
mu,mo,-0.059041448
kju,pju,-0.059539897
gju,bju,-0.059539897
tja,bja,-0.060844967
tju,bju,-0.060844967
nju,bju,-0.060844967
tjo,po,-0.06174951
djo,bo,-0.06174951
njo,mo,-0.06174951
zjo,rjo,-0.062122512
djo,rjo,-0.062122512
ko,kju,-0.062591117
go,gju,-0.062591117
a,kja,-0.066987298
a,gja,-0.066987298
o,kjo,-0.066987298
o,gjo,-0.066987298
a,rja,-0.067920717
u,hju,-0.067920717
u,rju,-0.067920717
o,bjo,-0.067920717
o,mjo,-0.067920717
po,bjo,-0.068668907
bo,mjo,-0.068668907
bjo,mo,-0.068668907
gjo,bjo,-0.070780183
hu,hjo,-0.070936065
ru,rjo,-0.070936065
si,zi,-0.071428571
so,zo,-0.071428571
to,do,-0.071428571
do,no,-0.071428571
pa,ba,-0.071428571
pu,bu,-0.071428571
ba,ma,-0.071428571
bu,mu,-0.071428571
kjo,pju,-0.073043718
gja,bja,-0.073043718
gjo,bju,-0.073043718
sa,sja,-0.073993566
su,sju,-0.073993566
za,zja,-0.073993566
zu,zju,-0.073993566
ta,tja,-0.073993566
tu,tju,-0.073993566
nu,nju,-0.073993566
sja,tja,-0.074074074
sju,tju,-0.074074074
tju,nju,-0.074074074
zju,rju,-0.074448729
zja,rja,-0.074448729
zjo,bjo,-0.074680109
tjo,mjo,-0.074680109
kju,kjo,-0.075665788
kju,tju,-0.075665788
gju,gjo,-0.075665788
a,bja,-0.077422873
a,mja,-0.077422873
u,pju,-0.077422873
u,bju,-0.077422873
u,mju,-0.077422873
o,sjo,-0.077422873
o,zjo,-0.077422873
o,tjo,-0.077422873
o,djo,-0.077422873
o,njo,-0.077422873
su,so,-0.077422873
zu,zo,-0.077422873
ta,pa,-0.077422873
tu,to,-0.077422873
tu,pu,-0.077422873
da,ba,-0.077422873
na,ma,-0.077422873
nu,no,-0.077422873
nu,mu,-0.077422873
ki,ku,-0.08
gi,gu,-0.08
he,ho,-0.081878995
re,ro,-0.081878995
kju,bju,-0.082127595
gju,pju,-0.082127595
gju,mju,-0.082127595
a,sja,-0.083024806
a,zja,-0.083024806
a,tja,-0.083024806
u,sju,-0.083024806
u,zju,-0.083024806
u,tju,-0.083024806
u,nju,-0.083024806
hju,hjo,-0.083595614
bjo,rjo,-0.083595614
rju,rjo,-0.083595614
ki,ge,-0.085386009
ku,go,-0.085386009
ke,gi,-0.085386009
ko,gu,-0.085386009
sjo,djo,-0.085714286
zjo,tjo,-0.085714286
zjo,njo,-0.085714286
njo,rjo,-0.085791565
sjo,rjo,-0.085791565
tjo,rjo,-0.085791565
sja,hja,-0.086594685
tja,hja,-0.086594685
tju,pu,-0.0885244
nju,mu,-0.0885244
tja,pa,-0.0885244
